x_data,Server CPU Utilization (%),x_data,95th Latency (ms),x_data,Actual RPS
2800,65.86,2800,668.85,2800,2803.96
1200,22.54,1200,829.74,1200,1208.24
800,4.234999999999999,800,1460.11,800,201.38
1700,43.97,1700,689.92,1700,1695.68
4000,89.88,4000,726.88,4000,3894.84
1100,27.095,1100,773.02,1100,1076.4
2000,47.7,2000,574.27,2000,2006.6
1400,36.15,1400,747.84,1400,1454.6399999999999
3800,100.0,3800,688.61,3800,3631.48
500,11.265,500,1363.5,500,501.94
2200,52.925,2200,660.43,2200,2183.4
3600,79.13,3600,700.28,3600,3566.94
2500,55.53,2500,627.22,2500,2532.96
2300,51.52,2300,711.13,2300,2282.7799999999997
900,21.835,900,901.83,900,909.08
400,8.654999999999994,400,1173.52,400,397.1
3900,85.935,3900,735.0,3900,3872.4
2100,53.875,2100,491.1,2100,2122.9
3300,75.715,3300,612.51,3300,3225.66
2400,49.06,2400,713.66,2400,2400.02
3500,80.64500000000001,3500,1148.93,3500,3602.6
3000,62.989999999999995,3000,806.0600000000001,3000,3006.36
1500,35.33,1500,759.51,1500,1536.16
2900,67.075,2900,545.75,2900,2856.86
1000,23.1,1000,666.51,1000,1011.26
1800,48.76,1800,895.0600000000001,1800,1795.8
1300,30.32,1300,529.62,1300,1303.16
3100,72.065,3100,758.38,3100,2985.6
300,7.334999999999994,300,1451.8799999999999,300,308.27
100,8.755000000000003,100,2421.34,100,97.84
1600,39.445,1600,711.96,1600,1612.2
700,13.574999999999996,700,824.17,700,682.9
1900,49.84,1900,562.55,1900,1893.26
600,18.025,600,1307.84,600,599.5600000000001
2700,57.42,2700,743.4399999999999,2700,2758.48
3700,77.185,3700,751.08,3700,3570.72
2600,55.065000000000005,2600,585.52,2600,2643.54
3200,73.00999999999999,3200,735.16,3200,3220.08
3400,75.145,3400,1046.38,3400,3289.52
6100,100.0,6100,57300.0,6100,2835.7599999999998
7900,76.055,7900,115900.0,7900,2627.38
7600,100.0,7600,17800.0,7600,2590.36
4500,100.0,4500,31600.0,4500,2427.3
4700,100.0,4700,7200.0,4700,2321.02
4100,100.0,4100,35600.0,4100,2410.64
7700,100.0,7700,33300.0,7700,2593.52
5900,100.0,5900,16400.0,5900,2543.5
4600,100.0,4600,10500.0,4600,2274.36
5000,100.0,5000,9400.0,5000,2495.88
4200,100.0,4200,43700.0,4200,2672.56
7300,100.0,7300,6500.0,7300,2470.4
7000,100.0,7000,13200.0,7000,2574.66
7100,100.0,7100,14300.0,7100,2397.46
5500,100.0,5500,11900.0,5500,2476.64
5700,100.0,5700,5191.2,5700,2474.04
6800,100.0,6800,22900.0,6800,2604.02
5400,100.0,5400,14800.0,5400,2614.28
5600,100.0,5600,13900.0,5600,2391.9
7500,100.0,7500,17600.0,7500,2643.38
6200,100.0,6200,18500.0,6200,2513.7
6500,100.0,6500,13300.0,6500,2504.24
5300,100.0,5300,8800.0,5300,2436.36
7200,100.0,7200,28900.0,7200,2483.84
5100,100.0,5100,6400.0,5100,2399.8
8000,100.0,8000,12200.0,8000,2450.76
6400,100.0,6400,11900.0,6400,2505.36
6300,100.0,6300,21400.0,6300,2646.3
7800,100.0,7800,22700.0,7800,2683.42
4800,100.0,4800,12300.0,4800,2413.56
5800,100.0,5800,17600.0,5800,2619.1
6000,100.0,6000,12600.0,6000,2503.44
6900,100.0,6900,14600.0,6900,2479.66
7400,100.0,7400,17300.0,7400,2599.9
6700,100.0,6700,35600.0,6700,2739.22
4400,100.0,4400,54100.0,4400,2534.48
4900,100.0,4900,10400.0,4900,2371.52
4300,100.0,4300,4967.79,4300,2434.18
6600,100.0,6600,13100.0,6600,2436.66
5200,100.0,5200,11600.0,5200,2493.12
