rates,server_cpu_usage,client_cpu_usage,session_rate,bw_util,connected_cons,failure_rate,client_timeout_rate,other_rate
60.0,34.04715242881071,156.7243048576215,59.90502673796793,23211.14669518716,7806.032085561497,0.0,0.0,0.0
120.0,65.2754271356784,356.3379061976547,119.93839572192513,46023.09612834229,15605.480213903744,0.0,0.0,0.0
180.0,95.59569514237857,683.8173199329981,179.9409625668458,68750.69031016043,23415.888770053476,0.0,0.0,0.0
240.0,89.3599162479063,463.35902847571157,146.7683848797251,47779.47890034366,20449.402061855668,38.78484631879914,0.0,38.78484631879914
300.0,15.66318257956449,70.8308710217756,82.04970873786408,21345.934951456307,8985.553398058251,64.64533452673976,1.3817408816289998,63.26359364511076
360.0,10.356716917922952,47.80348408710219,76.98364116094982,18379.509762533005,8533.74142480211,72.53274905598806,2.9602349540813946,69.57251410190668
420.0,7.333216080402011,36.01911222780569,68.92442941673711,15321.045443786996,7637.670329670329,77.43946295852314,3.312554942859426,74.12690801566372
480.0,5.715778894472359,31.011440536013385,68.74946677604595,14346.234782608706,7554.3199343724355,80.45522883815251,3.6467256389636726,76.80850319918883
540.0,4.61226130653266,26.45797319932997,79.67851622874805,15812.982565687791,8511.245749613601,82.73557931377424,3.5585529587270015,79.17702635504725
600.0,3.5241736227045077,24.259549248747902,75.3032258064516,14518.953824884777,7995.539170506912,84.61624524502126,3.3984112776907587,81.2178339673305
