Operations,avg,avgMean,avgStd,CPUUtilClient,CPUUtilClientMean,CPUUtilClientStd,CPUUtilServer,CPUUtilServerMean,CPUUtilServerStd,cycles,cyclesMean,cyclesStd,instructionsK,instructionsKMean,instructionsKStd,instructionsU,instructionsUMean,instructionsUStd,ipcK,ipcKMean,ipcKStd,ipcTotal,ipcTotalMean,ipcTotalStd,ipcU,ipcUMean,ipcUStd,p90th,p90thMean,p90thStd,p99th,p99thMean,p99thStd,throughput,throughputMean,throughputStd,totalOps,totalOpsMean,totalOpsStd
700,0.028,0.028,0.0,0.6795488721804475,0.6795488721804475,0.0,33.97862781954886,33.97862781954886,0.0,411781432426.0,411781432426.0,0.0,1070097273.0,1070097273.0,0.0,917958100817.0,917958100817.0,0.0,0.002598702099547201,0.002598702099547201,0.0,2.2318349632123247,2.2318349632123247,0.0,2.2292362611127774,2.2292362611127774,0.0,0.07,0.07,0.0,0.153,0.153,0.0,357.55,357.55,0.0,7151.0,7151.0,0.0
730,0.027,0.027,0.0,0.8354285714285794,0.8354285714285794,0.0,34.62539285714287,34.62539285714287,0.0,444689007994.0,444689007994.0,0.0,1058357325.0,1058357325.0,0.0,1005424042668.0,1005424042668.0,0.0,0.002379994346553041,0.002379994346553041,0.0,2.263339956463642,2.263339956463642,0.0,2.260959962117089,2.260959962117089,0.0,0.065,0.065,0.0,0.128,0.128,0.0,367.6,367.6,0.0,7352.0,7352.0,0.0
760,0.028,0.028,0.0,4.712800751879698,4.712800751879698,0.0,36.736654135338355,36.736654135338355,0.0,445660495540.0,445660495540.0,0.0,1216743752.0,1216743752.0,0.0,1008173808115.0,1008173808115.0,0.0,0.002730203291915498,0.002730203291915498,0.0,2.264931628377644,2.264931628377644,0.0,2.2622014250857285,2.2622014250857285,0.0,0.068,0.068,0.0,0.135,0.135,0.0,388.9,388.9,0.0,7778.0,7778.0,0.0
790,0.027,0.027,0.0,0.8290892857143035,0.8290892857143035,0.0,38.447500000000005,38.447500000000005,0.0,489433283882.0,489433283882.0,0.0,1160043672.0,1160043672.0,0.0,1109098672300.0,1109098672300.0,0.0,0.0023701773259043025,0.0023701773259043025,0.0,2.2684577296538704,2.2684577296538704,0.0,2.266087552327966,2.266087552327966,0.0,0.068,0.068,0.0,0.138,0.138,0.0,402.95,402.95,0.0,8059.0,8059.0,0.0
820,0.03,0.03,0.0,20.237875939849616,20.237875939849616,0.0,39.14973684210525,39.14973684210525,0.0,475312820074.0,475312820074.0,0.0,2323754465.0,2323754465.0,0.0,1073075821505.0,1073075821505.0,0.0,0.004888894990541643,0.004888894990541643,0.0,2.2625090899138263,2.2625090899138263,0.0,2.257620194923285,2.257620194923285,0.0,0.07,0.07,0.0,0.15,0.15,0.0,405.35,405.35,0.0,8107.0,8107.0,0.0
850,0.027,0.027,0.0,0.7209022556391034,0.7209022556391034,0.0,40.40669172932331,40.40669172932331,0.0,490554908424.0,490554908424.0,0.0,1144138866.0,1144138866.0,0.0,1110695979944.0,1110695979944.0,0.0,0.0023323359859465306,0.0023323359859465306,0.0,2.2664947383402927,2.2664947383402927,0.0,2.264162402354346,2.264162402354346,0.0,0.068,0.068,0.0,0.138,0.138,0.0,429.7,429.7,0.0,8594.0,8594.0,0.0
880,0.027,0.027,0.0,0.8017105263157731,0.8017105263157731,0.0,41.38015037593986,41.38015037593986,0.0,502339748269.0,502339748269.0,0.0,1191302795.0,1191302795.0,0.0,1139459234382.0,1139459234382.0,0.0,0.002371508125934849,0.002371508125934849,0.0,2.270675456416776,2.270675456416776,0.0,2.2683039482908414,2.2683039482908414,0.0,0.068,0.068,0.0,0.133,0.133,0.0,435.75,435.75,0.0,8715.0,8715.0,0.0
910,0.029,0.029,0.0,18.088496240601515,18.088496240601515,0.0,44.239191729323295,44.239191729323295,0.0,535387169777.0,535387169777.0,0.0,2454540485.0,2454540485.0,0.0,1209790473599.0,1209790473599.0,0.0,0.004584608342449386,0.004584608342449386,0.0,2.2642399417022365,2.2642399417022365,0.0,2.2596553333597873,2.2596553333597873,0.0,0.068,0.068,0.0,0.143,0.143,0.0,461.25,461.25,0.0,9225.0,9225.0,0.0
940,0.027,0.027,0.0,0.8964661654135426,0.8964661654135426,0.0,45.91627819548874,45.91627819548874,0.0,555330024168.0,555330024168.0,0.0,1314895543.0,1314895543.0,0.0,1256815229512.0,1256815229512.0,0.0,0.00236777319031145,0.00236777319031145,0.0,2.2655539414421915,2.2655539414421915,0.0,2.26318616825188,2.26318616825188,0.0,0.068,0.068,0.0,0.13,0.13,0.0,488.3,488.3,0.0,9766.0,9766.0,0.0
970,0.028,0.028,0.0,0.8302819548872407,0.8302819548872407,0.0,47.00368421052632,47.00368421052632,0.0,570711357904.0,570711357904.0,0.0,1370975044.0,1370975044.0,0.0,1293948021981.0,1293948021981.0,0.0,0.0024022214119499147,0.0024022214119499147,0.0,2.2696569449435895,2.2696569449435895,0.0,2.2672547235316394,2.2672547235316394,0.0,0.07,0.07,0.0,0.14,0.14,0.0,489.3,489.3,0.0,9786.0,9786.0,0.0
1000,0.028,0.028,0.0,0.9321992481202841,0.9321992481202841,0.0,48.16774436090225,48.16774436090225,0.0,587144336620.0,587144336620.0,0.0,1358294182.0,1358294182.0,0.0,1333104019595.0,1333104019595.0,0.0,0.002313390587771416,0.002313390587771416,0.0,2.272801133464163,2.272801133464163,0.0,2.2704877428763917,2.2704877428763917,0.0,0.068,0.068,0.0,0.138,0.138,0.0,508.25,508.25,0.0,10165.0,10165.0,0.0
1030,0.052,0.052,0.0,95.4835,95.4835,0.0,10.01919642857142,10.01919642857142,0.0,125061057951.0,125061057951.0,0.0,2022033661.0,2022033661.0,0.0,278600477164.0,278600477164.0,0.0,0.01616837162685966,0.01616837162685966,0.0,2.2438840309103276,2.2438840309103276,0.0,2.227715659283468,2.227715659283468,0.0,0.078,0.078,0.0,0.543,0.543,0.0,100.45,100.45,0.0,2009.0,2009.0,0.0
1060,0.028,0.028,0.0,0.894229323308295,0.894229323308295,0.0,50.600733082706775,50.600733082706775,0.0,613138627239.0,613138627239.0,0.0,1467274424.0,1467274424.0,0.0,1389888485541.0,1389888485541.0,0.0,0.0023930549451878845,0.0023930549451878845,0.0,2.269235207428308,2.269235207428308,0.0,2.26684215248312,2.26684215248312,0.0,0.068,0.068,0.0,0.135,0.135,0.0,534.4,534.4,0.0,10688.0,10688.0,0.0
1090,0.029,0.029,0.0,0.9098496240601719,0.9098496240601719,0.0,53.48323308270676,53.48323308270676,0.0,650634479656.0,650634479656.0,0.0,1541006880.0,1541006880.0,0.0,1475681075087.0,1475681075087.0,0.0,0.0023684679004634876,0.0023684679004634876,0.0,2.2704331358953325,2.2704331358953325,0.0,2.268064667994869,2.268064667994869,0.0,0.07,0.07,0.0,0.145,0.145,0.0,552.05,552.05,0.0,11041.0,11041.0,0.0
1120,0.028,0.028,0.0,0.8869172932330542,0.8869172932330542,0.0,53.80298872180452,53.80298872180452,0.0,651042358690.0,651042358690.0,0.0,1556066439.0,1556066439.0,0.0,1475533586741.0,1475533586741.0,0.0,0.0023901155097358815,0.0023901155097358815,0.0,2.2688072956606655,2.2688072956606655,0.0,2.26641718015093,2.26641718015093,0.0,0.07,0.07,0.0,0.14,0.14,0.0,564.65,564.65,0.0,11293.0,11293.0,0.0
1150,0.028,0.028,0.0,1.0568750000000051,1.0568750000000051,0.0,55.333875,55.333875,0.0,707568065975.0,707568065975.0,0.0,1703551266.0,1703551266.0,0.0,1602066869165.0,1602066869165.0,0.0,0.0024076146846064564,0.0024076146846064564,0.0,2.2665952542969414,2.2665952542969414,0.0,2.264187639612335,2.264187639612335,0.0,0.068,0.068,0.0,0.14,0.14,0.0,590.4,590.4,0.0,11808.0,11808.0,0.0
1180,0.041,0.041,0.0,59.09883458646617,59.09883458646617,0.0,43.8539097744361,43.8539097744361,0.0,543158083460.0,543158083460.0,0.0,4320758847.0,4320758847.0,0.0,1222326527671.0,1222326527671.0,0.0,0.007954882710160743,0.007954882710160743,0.0,2.2583614676303245,2.2583614676303245,0.0,2.2504065849201638,2.2504065849201638,0.0,0.075,0.075,0.0,0.433,0.433,0.0,459.9,459.9,0.0,9198.0,9198.0,0.0
1210,0.029,0.029,0.0,13.120488721804492,13.120488721804492,0.0,59.04039473684211,59.04039473684211,0.0,716745722760.0,716745722760.0,0.0,2451192980.0,2451192980.0,0.0,1620764545247.0,1620764545247.0,0.0,0.0034198920232981623,0.0034198920232981623,0.0,2.2647023716813006,2.2647023716813006,0.0,2.2612824796580027,2.2612824796580027,0.0,0.073,0.073,0.0,0.16,0.16,0.0,620.0,620.0,0.0,12400.0,12400.0,0.0
1240,0.037,0.037,0.0,59.00697368421053,59.00697368421053,0.0,45.14116541353382,45.14116541353382,0.0,555066515011.0,555066515011.0,0.0,4333430437.0,4333430437.0,0.0,1248671947224.0,1248671947224.0,0.0,0.00780704711923421,0.00780704711923421,0.0,2.25739680520301,2.25739680520301,0.0,2.2495897580837756,2.2495897580837756,0.0,0.075,0.075,0.0,0.223,0.223,0.0,471.75,471.75,0.0,9435.0,9435.0,0.0
1270,0.028,0.028,0.0,1.1040413533834652,1.1040413533834652,0.0,60.06417293233081,60.06417293233081,0.0,729504955586.0,729504955586.0,0.0,1789384610.0,1789384610.0,0.0,1649168862021.0,1649168862021.0,0.0,0.00245287519474438,0.00245287519474438,0.0,2.263121359202846,2.263121359202846,0.0,2.2606684840081015,2.2606684840081015,0.0,0.07,0.07,0.0,0.148,0.148,0.0,645.95,645.95,0.0,12919.0,12919.0,0.0
1300,1.054,1.054,0.0,97.9578947368421,97.9578947368421,0.0,0.37276315789473813,0.37276315789473813,0.0,1494743803.0,1494743803.0,0.0,211449720.0,211449720.0,0.0,2947126069.0,2947126069.0,0.0,0.14146218206465447,0.14146218206465447,0.0,2.1131218491494224,2.1131218491494224,0.0,1.971659667084768,1.971659667084768,0.0,0.085,0.085,0.0,0.085,0.085,0.0,0.6,0.6,0.0,12.0,12.0,0.0
1330,0.051,0.051,0.0,96.298625,96.298625,0.0,26.10498214285714,26.10498214285714,0.0,324914548865.0,324914548865.0,0.0,4416932740.0,4416932740.0,0.0,726311594938.0,726311594938.0,0.0,0.0135941365366043,0.0135941365366043,0.0,2.248986788158917,2.248986788158917,0.0,2.235392651622313,2.235392651622313,0.0,0.075,0.075,0.0,0.535,0.535,0.0,262.4,262.4,0.0,5248.0,5248.0,0.0
1360,0.03,0.03,0.0,1.1885714285714215,1.1885714285714215,0.0,65.13885714285715,65.13885714285715,0.0,831864782915.0,831864782915.0,0.0,2125516553.0,2125516553.0,0.0,1881936229332.0,1881936229332.0,0.0,0.002555122655333259,0.002555122655333259,0.0,2.264865377859749,2.264865377859749,0.0,2.262310255204416,2.262310255204416,0.0,0.075,0.075,0.0,0.168,0.168,0.0,688.9,688.9,0.0,13778.0,13778.0,0.0
1390,0.052,0.052,0.0,72.90351503759399,72.90351503759399,0.0,48.169887218045105,48.169887218045105,0.0,595197717227.0,595197717227.0,0.0,5482956115.0,5482956115.0,0.0,1339281575827.0,1339281575827.0,0.0,0.009211991169161151,0.009211991169161151,0.0,2.2593576773230897,2.2593576773230897,0.0,2.2501456861539286,2.2501456861539286,0.0,0.078,0.078,0.0,1.0,1.0,0.0,506.25,506.25,0.0,10125.0,10125.0,0.0
1420,0.055,0.055,0.0,74.57537593984962,74.57537593984962,0.0,45.646616541353374,45.646616541353374,0.0,569688490737.0,569688490737.0,0.0,5266761580.0,5266761580.0,0.0,1279501642286.0,1279501642286.0,0.0,0.00924498504996379,0.00924498504996379,0.0,2.2552121462097796,2.2552121462097796,0.0,2.245967161159816,2.245967161159816,0.0,0.08,0.08,0.0,0.925,0.925,0.0,479.95,479.95,0.0,9599.0,9599.0,0.0
1450,0.055,0.055,0.0,77.54303571428571,77.54303571428571,0.0,44.486571428571416,44.486571428571416,0.0,547884191370.0,547884191370.0,0.0,5110695340.0,5110695340.0,0.0,1231374938031.0,1231374938031.0,0.0,0.009328057681716571,0.009328057681716571,0.0,2.2568375814588344,2.2568375814588344,0.0,2.2475095237771177,2.2475095237771177,0.0,0.085,0.085,0.0,0.775,0.775,0.0,437.7,437.7,0.0,8754.0,8754.0,0.0
1510,0.042,0.042,0.0,98.12275,98.12275,0.0,0.2745000000000033,0.2745000000000033,0.0,801576667.0,801576667.0,0.0,210075441.0,210075441.0,0.0,621543640.0,621543640.0,0.0,0.26207778949733324,0.26207778949733324,0.0,1.037479152321683,1.037479152321683,0.0,0.7754013628243498,0.7754013628243498,0.0,0.08,0.08,0.0,0.303,0.303,0.0,586.65,586.65,0.0,11733.0,11733.0,0.0
