rates,clients,server_cpu_usage,client_cpu_usage,throughput,avgs,p90th,p99th
10.0,20.0,34.111129568106286,6.417740863787379,10.0,0.03,0.075,0.135
20.0,40.0,80.94936877076417,13.139717607973425,19.913333333333334,0.039,0.1,0.17
30.0,60.0,95.23051495016611,18.735249169435207,29.823333333333334,0.031,0.078,0.14
40.0,80.0,139.14044850498348,21.89986710963456,39.81,0.035,0.09,0.158
50.0,100.0,161.62377104377097,26.251818181818173,49.67333333333333,0.034,0.088,0.163
60.0,120.0,222.61640202702702,24.129594594594586,59.73,0.04,0.103,0.195
70.0,140.0,244.8905743243243,40.932162162162214,68.99333333333334,0.038,0.098,0.18
80.0,160.0,291.07275747508265,45.17641196013284,78.51333333333334,0.041,0.105,0.213
90.0,180.0,346.7509290540537,51.71278716216217,87.91666666666667,0.044,0.11,0.23
100.0,200.0,329.1549169435219,58.18506644518278,97.30666666666667,0.037,0.093,0.185
110.0,220.0,388.14386824324293,40.92172297297296,108.80666666666667,0.044,0.113,0.243
120.0,240.0,460.03709302325467,64.78596345514934,116.54666666666667,0.061,0.168,0.39
130.0,260.0,542.3891887417218,65.7184602649006,126.40333333333334,0.059,0.16,0.363
140.0,280.0,537.3701162790695,71.54154485049823,135.75,0.052,0.135,0.29
150.0,300.0,576.9317736486489,83.33353040540544,144.05,0.061,0.165,0.373
160.0,320.0,695.2132939189189,82.76271959459454,153.94666666666666,0.086,0.26,0.51
170.0,340.0,662.1654208754212,110.69575757575755,160.52333333333334,0.07,0.195,0.443
180.0,360.0,784.632940199336,115.24666112956787,169.88666666666666,0.106,0.325,0.68
190.0,380.0,737.6947342192693,99.68039867109623,181.51,0.082,0.235,0.505
200.0,400.0,849.7850168918918,105.6222297297298,191.02333333333334,0.119,0.378,0.73
210.0,420.0,846.1624418604644,125.14852159468454,197.98333333333332,0.12,0.365,0.745
220.0,440.0,860.6874324324315,140.93996621621625,204.99,0.093,0.26,0.6
230.0,460.0,1087.0688205980075,144.86591362126242,210.95,0.509,1.475,2.475
240.0,480.0,1110.2602155887212,122.13990049751246,224.01666666666668,0.519,1.475,2.475
250.0,500.0,1170.3315422885573,158.9433001658374,205.93333333333334,1.341,2.475,2.475
260.0,520.0,1137.382179054055,131.77773648648648,231.38333333333333,0.994,2.475,2.475
270.0,540.0,1160.0369256756758,167.91797297297313,209.68666666666667,1.496,2.475,2.475
280.0,560.0,1125.9590219224267,183.62094435075878,232.46666666666667,1.214,2.475,2.475
290.0,580.0,1170.5794603709933,150.04551433389528,203.18,1.967,2.475,2.475
300.0,600.0,1148.613546218489,171.1207058823529,243.58,1.351,2.475,2.475
